Date,Close
3/2/2015 00:00:00,25.37
3/3/2015 00:00:00,25.23
3/4/2015 00:00:00,25.13
3/5/2015 00:00:00,25.18
3/6/2015 00:00:00,24.81
3/9/2015 00:00:00,24.93
3/10/2015 00:00:00,24.53
3/11/2015 00:00:00,24.43
3/12/2015 00:00:00,24.7
3/13/2015 00:00:00,24.59
3/16/2015 00:00:00,24.92
3/17/2015 00:00:00,24.89
3/18/2015 00:00:00,25.13
3/19/2015 00:00:00,25.17
3/20/2015 00:00:00,25.29
3/23/2015 00:00:00,25.2
3/24/2015 00:00:00,25.12
3/25/2015 00:00:00,24.61
3/26/2015 00:00:00,24.56
3/27/2015 00:00:00,24.65
3/30/2015 00:00:00,24.88
3/31/2015 00:00:00,24.65
4/1/2015 00:00:00,24.52
4/2/2015 00:00:00,24.62
4/6/2015 00:00:00,24.76
4/7/2015 00:00:00,24.72
4/8/2015 00:00:00,24.83
4/9/2015 00:00:00,24.92
4/10/2015 00:00:00,25.02
4/13/2015 00:00:00,24.94
4/14/2015 00:00:00,24.89
4/15/2015 00:00:00,25.02
4/16/2015 00:00:00,25
4/17/2015 00:00:00,24.71
4/20/2015 00:00:00,24.99
4/21/2015 00:00:00,25.03
4/22/2015 00:00:00,25.18
4/23/2015 00:00:00,25.27
4/24/2015 00:00:00,25.34
4/27/2015 00:00:00,25.21
4/28/2015 00:00:00,25.25
4/29/2015 00:00:00,25.1
4/30/2015 00:00:00,24.74
5/1/2015 00:00:00,25.07
5/4/2015 00:00:00,25.11
5/5/2015 00:00:00,24.78
5/6/2015 00:00:00,24.67
5/7/2015 00:00:00,24.84
5/8/2015 00:00:00,25.18
5/11/2015 00:00:00,25.06
5/12/2015 00:00:00,24.99
5/13/2015 00:00:00,24.96
5/14/2015 00:00:00,25.31
5/15/2015 00:00:00,25.32
5/18/2015 00:00:00,25.43
5/19/2015 00:00:00,25.4
5/20/2015 00:00:00,25.37
5/21/2015 00:00:00,25.42
5/22/2015 00:00:00,25.42
5/26/2015 00:00:00,25.13
5/27/2015 00:00:00,25.43
5/28/2015 00:00:00,25.38
5/29/2015 00:00:00,25.21
6/1/2015 00:00:00,25.27
6/2/2015 00:00:00,25.25
6/3/2015 00:00:00,25.26
6/4/2015 00:00:00,25.04
6/5/2015 00:00:00,25.02
6/8/2015 00:00:00,24.87
6/9/2015 00:00:00,24.8
6/10/2015 00:00:00,25.12
6/11/2015 00:00:00,25.19
6/12/2015 00:00:00,25
6/15/2015 00:00:00,24.89
6/16/2015 00:00:00,25.03
6/17/2015 00:00:00,25.12
6/18/2015 00:00:00,25.41
6/19/2015 00:00:00,25.19
6/22/2015 00:00:00,25.34
6/23/2015 00:00:00,25.34
6/24/2015 00:00:00,25.19
6/25/2015 00:00:00,25.17
6/26/2015 00:00:00,25.09
6/29/2015 00:00:00,24.55
6/30/2015 00:00:00,24.66
7/1/2015 00:00:00,24.75
7/2/2015 00:00:00,24.83
7/6/2015 00:00:00,24.74
7/7/2015 00:00:00,24.89
7/8/2015 00:00:00,24.53
7/9/2015 00:00:00,24.56
7/10/2015 00:00:00,24.89
7/13/2015 00:00:00,25.18
7/14/2015 00:00:00,25.3
7/15/2015 00:00:00,25.27
7/16/2015 00:00:00,25.53
7/17/2015 00:00:00,25.66
7/20/2015 00:00:00,25.76
7/21/2015 00:00:00,25.69
7/22/2015 00:00:00,25.56
7/23/2015 00:00:00,25.4
7/24/2015 00:00:00,25.21
7/27/2015 00:00:00,25.04
7/28/2015 00:00:00,25.37
7/29/2015 00:00:00,25.53
7/30/2015 00:00:00,25.56
7/31/2015 00:00:00,25.52
8/3/2015 00:00:00,25.44
8/4/2015 00:00:00,25.45
8/5/2015 00:00:00,25.53
8/6/2015 00:00:00,25.26
8/7/2015 00:00:00,25.19
8/10/2015 00:00:00,25.47
8/11/2015 00:00:00,25.26
8/12/2015 00:00:00,25.25
8/13/2015 00:00:00,25.27
8/14/2015 00:00:00,25.38
8/17/2015 00:00:00,25.55
8/18/2015 00:00:00,25.48
8/19/2015 00:00:00,25.37
8/20/2015 00:00:00,24.76
8/21/2015 00:00:00,23.96
8/24/2015 00:00:00,23
8/25/2015 00:00:00,22.73
8/26/2015 00:00:00,23.71
8/27/2015 00:00:00,24.24
8/28/2015 00:00:00,24.19
8/31/2015 00:00:00,23.98
9/1/2015 00:00:00,23.33
9/2/2015 00:00:00,23.79
9/3/2015 00:00:00,23.76
9/4/2015 00:00:00,23.44
9/8/2015 00:00:00,24
9/9/2015 00:00:00,23.66
9/10/2015 00:00:00,23.84
9/11/2015 00:00:00,23.93
9/14/2015 00:00:00,23.88
9/15/2015 00:00:00,24.2
9/16/2015 00:00:00,24.35
9/17/2015 00:00:00,24.36
9/18/2015 00:00:00,23.94
9/21/2015 00:00:00,24.02
9/22/2015 00:00:00,23.75
9/23/2015 00:00:00,23.73
9/24/2015 00:00:00,23.62
9/25/2015 00:00:00,23.54
9/28/2015 00:00:00,22.87
9/29/2015 00:00:00,22.88
9/30/2015 00:00:00,23.31
10/1/2015 00:00:00,23.33
10/2/2015 00:00:00,23.79
10/5/2015 00:00:00,24.16
10/6/2015 00:00:00,24.01
10/7/2015 00:00:00,24.19
